Monthly Investment (₹),Period (Years),Total Invested (₹),Maturity Value (₹),Estimated Returns (₹),Return %
500,1,6000,6383,383,6.39
500,3,18000,21540,3540,19.66
500,5,30000,40552,10552,35.17
1000,1,12000,12766,766,6.39
1000,3,36000,43079,7079,19.66
1000,5,60000,81104,21104,35.17
2000,1,24000,25533,1533,6.39
2000,3,72000,86159,14159,19.66
2000,5,120000,162207,42207,35.17
5000,1,60000,63832,3832,6.39
5000,3,180000,215396,35396,19.66
5000,5,300000,405518,105518,35.17
